,date,baciTbv,chlorTbv,chrysTbv,cryptTbv,cyanoTbv,eugleTbv,haptTbv,hapt2Tbv,none,pyrrTbv,raphiTbv,rhodoTbv,xanthTbv,NO,OP,TN,TP,cyanoLC,microLC,cyanoEL,microEL,tem,maxTem,minTem,degDays,hum,peakWind,pres,rain,shanDiv,windSpeed
0,2013.0013698630137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,60.13,2.19,0.0,0.0,,0.87
1,2013.0205479452054,,,,,,,,,,,,,,,,,,,,,,3.307488095238095,4.3100000000000005,0.1,0.0,99.3,2.85,30.2352380952381,20.26,,1.38
2,2013.0397260273974,,,,,,,,,,,,,,,,,,,,,,2.839696428571429,4.236,0.1,0.0,63.08,3.95,30.227738095238095,21.45,,1.05
3,2013.058904109589,,,,,,,,,,,,,,,,,,,,,,3.2132797619047615,4.878,0.1,0.0,65.02,2.19,30.367202380952385,4.29,,0.38
4,2013.0780821917808,,,,,,,,,,,,,,,,,,,,,,3.4628035714285716,4.9270000000000005,0.1,0.0,98.5,1.53,27.15565476190476,9.87,,0.16
5,2013.0972602739726,104.90351175461619,7.092437001984858,,18.272170705223207,12.25043492601264,,,,,,,,,,,,,,,,,3.6810416666666663,5.013,2.942,0.0,97.6,2.41,29.44363095238095,10.86,,0.74
6,2013.1164383561643,157.1097319378972,8.650283926606756,6.946454529885403,21.2874826787449,8.969806604914195,,,,,,,,,,,,,,,,,3.662107142857143,4.975,0.1,0.0,96.5,1.97,28.292916666666667,11.91,,0.99
7,2013.1356164383562,,,,,,,,,,,,,,,,,,,,,,3.8775238095238094,6.143,3.0300000000000002,0.0,62.88,5.7,29.741845238095234,12.81,,2.87
8,2013.154794520548,,,,,,,,,,,,,,,,,,,,,,3.4625059523809525,4.987,0.1,0.0,1.0,3.51,29.824702380952377,16.43,,1.12
9,2013.1739726027397,,,,,,,,,,,,,,,,,,,,,,3.84585119047619,5.742,0.1,0.0,96.6,1.53,30.079107142857143,17.91,,0.28
10,2013.1931506849314,62.888100774881266,,17.24009755735858,20.636835977399354,11.308180805759827,,,,,4.596833988857216,,,,,,,,,,,,4.0345029940119765,5.784000000000001,0.1,0.0,92.4,2.63,29.974790419161675,18.88,,0.54
11,2013.2123287671234,,,,,,,,,,,,,,,,,,,,,,4.309238095238095,6.805,0.1,0.002295000000000002,69.02,1.97,30.020178571428566,19.76,,0.46
12,2013.231506849315,,,,,,,,,,,,,,,,,,,,,,3.804416666666667,5.551,0.1,0.002786000000000003,79.5,,28.906964285714285,23.06,,1.72
13,2013.2506849315068,,,,,,,,,,,,,,,,,,,,,,4.943648809523809,7.63,0.1,0.008136000000000001,61.94,4.38,29.057499999999997,5.53,,1.87
14,2013.2698630136986,92.68083124768314,,,9.555506356951437,8.587601504623478,,,,,,,,,,,,,,,,,4.521738095238095,6.676,0.1,0.018612,64.47,3.95,28.818214285714287,10.45,,1.41
15,2013.2890410958903,,,,,,,,,,,,,,,,,,,,,,4.170732142857142,5.625,3.116,0.018788000000000003,75.6,3.73,29.779107142857146,11.68,,1.46
16,2013.3082191780823,,,,,,,,,,,,,,,,,,,,,,4.552922619047619,6.1770000000000005,3.024,0.018788000000000003,27.31,4.82,30.33642857142857,13.68,,1.85
17,2013.327397260274,87.95173543053636,6.846689999731698,17.729254734454326,14.15952886016617,9.180290921824671,9.837729931202563,,,,,,,,,,,,,,,,5.216148809523809,7.859999999999999,0.1,0.039665,52.58,10.52,30.200595238095236,14.15,,3.12
18,2013.3465753424657,49.39388623105468,9.505892609713587,9.861077357692771,16.677739685431106,11.609855507784022,4.765412048348902,,,,10.990328504471417,,,,,,,,,,,,5.556636904761905,8.129999999999999,0.1,0.075229,41.84,7.23,29.632916666666667,14.15,,1.85
19,2013.3657534246574,55.39492307832638,7.7452537966766055,6.573065951405697,10.695272270491456,8.318286653195948,6.044873941842359,,,,,,,,,,,,,,-2.3025850929940455,-1.8971199848858813,6.107244047619049,8.809999999999999,0.1,0.14630300000000002,40.88,6.58,30.142738095238098,14.19,,2.82
20,2013.3849315068494,,,,,,,,,,,,,,,,,,,,-2.3025850929940455,-1.8971199848858813,5.060178571428572,7.51,0.1,0.174589,86.6,5.04,28.05988095238095,15.12,,1.24
21,2013.4041095890411,62.88503766331612,10.839138126317433,8.854182658695999,15.524664930580089,10.00448353147993,9.942052103290862,,,,,,,,,,,,0.8329091229351039,,0.3364722366212129,-1.8971199848858813,4.767267857142857,6.497,3.682,0.180649,66.24,11.84,27.765059523809523,18.56,,2.85
22,2013.4232876712329,51.76132189146896,11.508097329939702,7.967468132131217,19.074950275368945,18.9701925697073,8.438182036615427,,,,,,,,,,,,,,-1.8325814637483102,-1.8971199848858813,5.473482142857144,7.68,0.1,0.189009,30.65,5.7,30.09708333333333,20.1,,2.94
23,2013.4424657534246,41.421071070406754,8.933080406193207,7.226244988007676,12.650181826743713,19.908125339368954,,,,,8.158267341751788,,,,,,,,,,-1.8325814637483102,-1.8971199848858813,6.242779761904762,8.540000000000001,0.1,0.25618900000000006,48.03,9.43,27.64446428571429,20.09,,2.57
24,2013.4616438356165,49.77183748950698,13.042558525469023,9.832485577394618,19.33803497198344,14.98168965971498,,,,,9.26162266372856,,,,,,,,,,-1.8325814637483102,-1.8971199848858813,5.687095238095238,8.16,0.1,0.2966230000000001,50.78,9.64,28.905833333333334,20.13,,3.04
25,2013.4808219178083,45.686042574502665,11.153621511201024,7.013166144447662,16.859611622997352,11.190000367800712,,,,,,,,,,,,,,,-1.8325814637483102,-1.8971199848858813,5.499261904761903,7.890000000000001,0.1,0.323308,89.9,2.63,28.77119047619048,5.92,,0.58
26,2013.5,45.76671294981979,5.302334151439054,7.534722079624872,15.94432408590824,9.300424476373824,,,,,,,,,,,,,,,-1.8325814637483102,-1.8971199848858813,6.807970238095239,9.47,0.1,0.36359300000000006,57.74,4.6,28.857261904761902,6.68,,1.9
27,2013.5191780821917,33.42479835959093,8.726808670790737,8.197734812921535,20.648092406076067,16.45385803132871,,,,,6.414656880441463,,,,,,,,,,-1.8325814637483102,-1.8971199848858813,6.395595238095238,9.459999999999999,0.1,0.46973700000000007,39.54,4.38,29.34767857142857,6.69,,2.03
28,2013.5383561643835,43.0903135895333,16.135996693625778,,16.917783119832556,4.259012537095324,,,,,,,,,,,,,,,-1.8325814637483102,-1.8971199848858813,6.5305238095238085,9.27,0.1,0.5608160000000002,60.2,7.01,28.474940476190476,6.68,,1.79
29,2013.5575342465754,58.63781417687319,21.653659577473103,8.109427288331753,16.002569568750864,11.53796528975554,,,,,13.890038044059558,,,,,,,,,,-1.8325814637483102,-1.8971199848858813,6.818946428571429,9.09,0.1,0.6668860000000002,32.95,4.6,29.022976190476193,6.67,,2.16
